compound,base_compound,isotope_info,neutral_formula,ion_formula,mass_type
Lead acetate [M+NH4]+,Lead acetate,204Pb,PbC4H6O4,C4H10NO4Pb,ammoniated
Lead acetate [M+Na]+,Lead acetate,204Pb,PbC4H6O4,C4H6NaO4Pb,sodiated
Lead acetate [M+K]+,Lead acetate,204Pb,PbC4H6O4,C4H6KO4Pb,potassiated
Lead acetate [2M+H]+,Lead acetate,204Pb,C8H12O8Pb2,C8H13O8Pb2,dimer_protonated
TOP [M+H]+,TOP,,C24H51P,C24H52P,protonated
TOP [M+NH4]+,TOP,,C24H51P,C24H55NP,ammoniated
TOP [M+Na]+,TOP,,C24H51P,C24H51NaP,sodiated
TOP [M+K]+,TOP,,C24H51P,C24H51KP,potassiated
TOP [2M+H]+,TOP,,C48H102P2,C48H103P2,dimer_protonated
TOPO [M+H]+,TOPO,,C24H51OP,C24H52OP,protonated
TOPO [M+NH4]+,TOPO,,C24H51OP,C24H55NOP,ammoniated
TOPO [M+Na]+,TOPO,,C24H51OP,C24H51NaOP,sodiated
TOPO [M+K]+,TOPO,,C24H51OP,C24H51KOP,potassiated
TOPO [2M+H]+,TOPO,,C48H102O2P2,C48H103O2P2,dimer_protonated
Trioctylphosphine selenide [M+H]+,Trioctylphosphine selenide,74Se,C24H51PSe,C24H52PSe,protonated
Trioctylphosphine selenide [M+NH4]+,Trioctylphosphine selenide,74Se,C24H51PSe,C24H55NPSe,ammoniated
