compound,base_compound,isotope_info,neutral_formula,ion_formula,mass_type,calculated_mz
Linoleic acid [M+Na]+,Linoleic acid,,C18H34O2,C18H34NaO2,sodiated,305.451810909377
Linoleic acid [M+K]+,Linoleic acid,,C18H34O2,C18H34KO2,potassiated,321.56034275293973
Linoleic acid [2M+H]+,Linoleic acid,,C36H68O4,C36H69O4,dimer_protonated,565.9320240108497
Linoleic acid [M-H2O+H]+,Linoleic acid,,C18H32O,C18H33O,dehydrated_protonated,265.4546959474508
Linoleic acid [M-CO2+H]+,Linoleic acid,,C17H34,C17H35,decarboxylated_protonated,239.46043663134736
Oleic acid - H2O [M+H]+,Oleic acid - H2O,,C18H32O,C18H33O,protonated,265.4546959474508
Oleic acid - H2O [M+NH4]+,Oleic acid - H2O,,C18H32O,C18H36NO,ammoniated,282.48522142095
Oleic acid - H2O [M+Na]+,Oleic acid - H2O,,C18H32O,C18H32NaO,sodiated,287.436524474455
Oleic acid - H2O [M+K]+,Oleic acid - H2O,,C18H32O,C18H32KO,potassiated,303.54505631801777
Oleic acid - H2O [2M+H]+,Oleic acid - H2O,,C36H64O2,C36H65O2,dimer_protonated,529.9014511410057
